customerID,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,1,Yes,No,45,One year,DSL,No,No,Mailed check,66.32,2789.83,No
CUST-00001,0,No,Yes,60,Month-to-month,Fiber optic,No,No,Electronic check,55.71,3029.23,No
CUST-00002,1,No,No,46,Two year,Fiber optic,No,Yes,Electronic check,44.72,1915.09,Yes
CUST-00003,0,Yes,No,43,One year,Fiber optic,No,No,Credit card,39.67,1645.66,No
CUST-00004,0,No,No,34,Month-to-month,DSL,No,Yes,Mailed check,64.03,2155.68,Yes
CUST-00005,1,Yes,No,17,Two year,No,No internet service,No,Credit card,55.69,856.0,No
CUST-00006,0,No,Yes,20,One year,Fiber optic,Yes,No,Credit card,51.29,924.93,No
CUST-00007,0,Yes,Yes,54,One year,Fiber optic,No,Yes,Electronic check,95.94,4969.59,No
CUST-00008,0,No,Yes,5,Month-to-month,Fiber optic,Yes,Yes,Mailed check,63.35,307.24,Yes
CUST-00009,0,No,No,6,Month-to-month,No,No internet service,No,Bank transfer,90.4,521.15,No
CUST-00010,0,No,No,28,Month-to-month,No,No,No,Electronic check,54.33,1517.14,Yes
CUST-00011,0,No,No,56,Two year,No,No,Yes,Credit card,69.9,3612.55,Yes
CUST-00012,0,No,No,47,One year,Fiber optic,No internet service,No,Electronic check,63.89,2847.06,No
CUST-00013,0,Yes,No,43,Two year,No,No,Yes,Credit card,31.05,1323.92,No
CUST-00014,0,No,No,38,Month-to-month,DSL,Yes,Yes,Credit card,93.57,3419.66,Yes
CUST-00015,0,Yes,No,8,Month-to-month,Fiber optic,No,No,Bank transfer,62.3,477.32,Yes
CUST-00016,0,No,No,24,One year,Fiber optic,Yes,Yes,Credit card,79.93,1905.44,No
CUST-00017,0,No,No,5,Month-to-month,Fiber optic,No internet service,No,Credit card,49.96,233.29,Yes
CUST-00018,0,Yes,No,55,Two year,No,No,No,Bank transfer,61.7,3107.49,No
CUST-00019,0,Yes,No,54,One year,No,No,Yes,Bank transfer,47.66,2349.54,No
CUST-00020,0,Yes,No,18,One year,Fiber optic,No internet service,Yes,Mailed check,89.72,1586.19,No
CUST-00021,0,Yes,No,21,Month-to-month,Fiber optic,No,Yes,Mailed check,71.23,1474.43,Yes
CUST-00022,0,No,No,23,Two year,No,No,Yes,Credit card,72.34,1536.35,No
CUST-00023,0,Yes,No,64,Two year,No,Yes,No,Electronic check,92.16,5578.01,No
CUST-00024,0,No,Yes,35,One year,Fiber optic,No,Yes,Mailed check,88.13,2956.5,No
CUST-00025,0,Yes,No,55,Month-to-month,DSL,No internet service,No,Bank transfer,80.31,4036.76,No
CUST-00026,0,No,No,32,Month-to-month,DSL,No internet service,Yes,Mailed check,36.57,1152.55,No
CUST-00027,0,Yes,Yes,50,Month-to-month,No,No,Yes,Mailed check,51.09,2406.05,Yes
CUST-00028,0,Yes,No,38,Month-to-month,Fiber optic,Yes,No,Bank transfer,44.92,1683.66,Yes
CUST-00029,1,No,Yes,20,One year,Fiber optic,Yes,Yes,Mailed check,79.55,1552.83,No
CUST-00030,0,Yes,No,63,One year,Fiber optic,No internet service,No,Credit card,68.41,4005.97,No
CUST-00031,0,No,Yes,51,Two year,Fiber optic,Yes,No,Electronic check,37.19,1842.93,No
CUST-00032,0,No,Yes,56,Month-to-month,Fiber optic,No,No,Mailed check,61.23,3339.97,No
CUST-00033,0,Yes,No,69,Month-to-month,No,No,Yes,Credit card,35.12,2256.38,No
CUST-00034,0,Yes,Yes,18,Month-to-month,DSL,No,Yes,Mailed check,63.94,1065.03,Yes
CUST-00035,0,Yes,No,6,Month-to-month,Fiber optic,No,No,Bank transfer,31.89,187.96,Yes
CUST-00036,0,Yes,No,42,Month-to-month,Fiber optic,No internet service,Yes,Bank transfer,75.58,3072.12,Yes
